네 시작은 미약하였으나 네 나중은 심히 창대하리라,Your future will be brighter by far than your past.,욥기 8장 7절,Job 8:7,위로
너희가 이 세대를 본받지 말고 오직 마음을 새롭게 함으로 변화를 받아 하나님의 선하시고 기뻐하시고 온전하신 뜻이 무엇인지 분별하도록 하라,"Don't be like the people of this world, but let God change the way you think. Then you will know how to do everything that is good and pleasing to him.",로마서 12장 2절,Romans 12:2,기타
새 사람을 입었으니 이는 자기를 창조하신 이의 형상을 따라 지식에까지 새롭게 하심을 입은 자니라,"Each of you is now a new person. You are becoming more and more like your Creator, and you will understand him better.",골로새서 3장 10절,Colossians 3:10,기타
보좌에 앉으신 이가 이르시되 보라 내가 만물을 새롭게 하노라 하시고 또 이르시되 이 말은 신실하고 참되니 기록하라 하시고,Then the one sitting on the throne said: I am making everything new. Write down what I have said. My words are true and can be trusted.,요한계시록 21장 5절,Revelation 21:5,기타
오직 여호와를 앙망하는 자는 새 힘을 얻으리니 독수리가 날개치며 올라감 같을 것이요 달음박하여도 곤비하지 아니하겠고 걸어가도 피곤하지 아니하리로다,But those who trust the LORD will find new strength. They will be strong like eagles soaring upward on wings; they will walk and run without getting tired.,이사야 40장 31절,Isaiah 40:31,위로
사무엘이 백성에게 이르되 오라 우리가 길갈로 가서 나라를 새롭게 하자,"""Come on!"" Samuel said. ""Let's go to Gilgal and make an agreement that Saul will continue to be our king.""",사무엘상 11장 14절,1 Samuel 11:14,기타
그런즉 누구든지 그리스도 안에 있으면 새로운 피조물이라 이전 것은 지나갔으니 보라 새것이 되었도다,"Anyone who belongs to Christ is a new person. The past is forgotten, and everything is new.",고린도후서 5:17,2 Corinthians 5:17,위로
"너희는 이전 일을 기억하지 말며 옛적 일을 생각하지 말라,  보라 내가 새 일을 행하리니 이제 나타낼 것이라 너희가 그것을 알지 못하겠느냐 정녕히 내가 광야에 길과 사막에 강을 내리니","Forget what happened long ago! Don't think about the past.  I am creating something new. There it is! Do you see it? I have put roads in deserts, streams n) in thirsty lands",이사야 43:18~19,Isaiah 43:18~19,위로
너는 마음을 다하여 여호와를 의뢰하고 네 명철을 의지하지 말라 너는 범사에 그를 인정하라 그리하면 네 길을 지도하시리라,"With all your heart you must trust the LORD and not your own judgment. Always let him lead you, and he will clear the road for you to follow.",잠언 3장 5~6절 ,Proverbs 3:5~6,지혜
내게 능려 주시는 자 안에서 내가 모든 것을 할 수 있느니라,Christ gives me the strength to face anything.,빌립보서 4장 13절,Philippians 4:13,위로
또 무엇을 하든지 말에나 일에나 다 주 예수의 이름으로 하고 그를 힘입어 하나님 아버지께 감사하라,"Whatever you say or do should be done in the name of the Lord Jesus, as you give thanks to God the Father because of him.",골로새서 3장 17절,Colossians 3:17,기타